video_id,key,song_name,artist_name,beef_id,track_category,release_date,collected_at,view_count,comment_count,like_count,channel_title,video_title
p7wJgqeD7wI,b6_post_nicki_03,"If It's Okay ft. David Guetta, Davido",Nicki Minaj,b6,post,2024-11-22,2026-07-15T01:51:00.514146+00:00,1652232,3991,51252,NickiMinajAtVEVO,"Nicki Minaj - If It's Okay (Visualizer) ft. David Guetta, Davido"
zI383uEwA6Q,b1_catalog_kendrick_02,N95,Kendrick Lamar,b1,catalog,2022-05-14,2026-07-15T01:51:00.514146+00:00,109413575,59316,1838681,KendrickLamarVEVO,Kendrick Lamar - N95
6nTcdw7bVdc,b1_catalog_kendrick_03,Count Me Out (Official Audio),Kendrick Lamar,b1,catalog,2022-05-13,2026-07-15T01:51:00.514146+00:00,55235072,10998,541838,Kendrick Lamar,Kendrick Lamar - Count Me Out (Official Audio)
toBTPGfurLc,b1_catalog_kendrick_04,Rich Spirit,Kendrick Lamar,b1,catalog,2022-11-16,2026-07-15T01:51:00.514146+00:00,54628809,24422,854228,Kendrick Lamar,Kendrick Lamar - Rich Spirit
Lx3MGrafykU,b1_catalog_kendrick_05,Die Hard ft. Blxst & Amanda Reifer,Kendrick Lamar,b1,catalog,2022-05-13,2026-07-15T01:51:00.514146+00:00,36071981,8761,373783,Kendrick Lamar,Kendrick Lamar - Die Hard ft. Blxst & Amanda Reifer (Official Audio)
THVbtGqEO1o,b1_catalog_drake_02,Fair Trade ft. Travis Scott,Drake,b1,catalog,2021-09-03,2026-07-15T01:51:00.514146+00:00,143791003,18423,1019355,DrakeVEVO,Drake - Fair Trade (Audio) ft. Travis Scott
XqpQpt_cmhE,b1_catalog_drake_03,"Knife Talk ft. 21 Savage, Project Pat",Drake,b1,catalog,2021-11-05,2026-07-15T01:51:00.514146+00:00,128815659,30564,1102106,DrakeVEVO,"Drake - Knife Talk (Official Video) ft. 21 Savage, Project Pat"
V7UgPHjN9qE,b1_catalog_drake_04,Jimmy Cooks ft. 21 Savage,Drake,b1,catalog,2022-06-17,2026-07-15T01:51:00.514146+00:00,123759579,14661,928345,DrakeVEVO,Drake - Jimmy Cooks (Audio) ft. 21 Savage
vX9msKu75qs,b1_catalog_drake_05,"Way 2 Sexy ft. Future, Young Thug",Drake,b1,catalog,2021-09-03,2026-07-15T01:51:00.514146+00:00,111340671,49907,1327070,DrakeVEVO,Drake ft. Future and Young Thug - Way 2 Sexy (Official Video)
R0NpahenvAg,b2_catalog_pusha_02,"M.P.A. ft. Kanye West, A$AP Rocky, The-Dream",Pusha T,b2,catalog,2016-01-01,2026-07-15T01:51:00.514146+00:00,12080483,3046,119434,PushaTVEVO,"Pusha T - M.P.A. (Explicit) ft. Kanye West, A$AP ROCKY, The-Dream"
NPI_6MX74j4,b2_catalog_pusha_03,Untouchable,Pusha T,b2,catalog,2015-11-20,2026-07-15T01:51:00.514146+00:00,9293640,3763,104566,PushaTVEVO,Pusha T - Untouchable (Explicit Official Video)
crCFDQyfORM,b2_catalog_pusha_04,"Crutches, Crosses, Caskets",Pusha T,b2,catalog,2015-12-14,2026-07-15T01:51:00.514146+00:00,2211523,1420,24882,PushaTVEVO,"Pusha T - Crutches, Crosses, Caskets (Explicit Official Video)"
tPp7dNDe00U,b2_catalog_pusha_05,Drug Dealers Anonymous,Pusha T,b2,catalog,2016-06-28,2026-07-15T01:51:00.514146+00:00,1618475,868,16969,PushaTVEVO,Pusha T - Drug Dealers Anonymous (Audio)
